0,1
"ɐ stɜːɹɪŋ , fʌni ænd faɪnəli tɹænspoːɹɾɪŋ ɹiː ɪmædʒɪnɪŋ ʌv bjuːɾi ænd ðə biːst ænd naɪntiːnhʌndɹɪd θɜːɾi z hɔɹɚ fɪlmz ",1
ɐpæɹəntli ɹiːɐsɛmbəld fɹʌmðə kʌɾɪŋ ɹuːm floːɹ ʌv ɛni ɡɪvən deɪtaɪm soʊp ,0
"ðeɪ pɹɪzuːm ðɛɹ ɔːdiəns woʊ ɛnt sɪt stɪl fɚɹə soʊsɪɑːlədʒi lɛsən , haʊɛvɚɹ ɛntɚteɪnɪŋli pɹɪzɛntᵻd , soʊ ðeɪ tɹɑːt aʊt ðə kənvɛnʃənəl saɪəns fɪkʃən ɛlɪmənts ʌv bʌɡ aɪd mɔnstɚz ænd fjuːtʃɚɹɪstɪk wɪmɪn ɪn skɪmpi kloʊðz ",0
"ðɪs ɪz ɐ vɪʒuːəli stʌnɪŋ ɹuːmᵻneɪʃən ɔn lʌv , mɛmɚɹi , hɪstɚɹi ænd ðə wɔːɹ bᵻtwiːn ɑːɹt ænd kɑːmɜːs ",1
dʒɑːnəθən pɑːɹkɚ ɛs bɑːɹɾəlbi ʃʊdəv bɪn ðə biː ɔːl ɛnd ɔːl ʌvðə mɑːdɚn ɑːfɪs ɐnɑːmi fɪlmz ,1
kæmpɐnɛlə ɡɛts ðə toʊn dʒʌst ɹaɪt fʌni ɪnðə mɪdəl ʌv sæd ɪnðə mɪdəl ʌv hoʊpfəl ,1
ɐ fæn fɪlm ðæt fɚðɪ ʌnɪnɪʃɪeɪɾᵻd pleɪz bɛɾɚɹ ɔn vɪdɪoʊ wɪððə saʊnd tɜːnd daʊn ,0
"biː ɑːɹt ænd bɜːlɪŋɡ ɑːɹ boʊθ suːpɜːb , waɪl hʌpɚt ɪz mæɡnɪfɪsənt ",1
"ɐ lɪɾəl lɛs ɛkstɹiːm ðɐn ɪnðə pæst , wɪð lɔŋɡɚɹ ɛkspəzɪʃən siːkwənsᵻz bᵻtwiːn ðɛm , ænd wɪð fjuːɚ ɡæɡz tə bɹeɪk ðə tiːdiəm ",0
ðə fɪlm ɪz stɹɪktli ɹuːtiːn ,0
ɐ lɪɹɪkəl mɛɾəfɔːɹ fɔːɹ kʌltʃɚɹəl ænd pɜːsənəl sɛlf dɪskʌvɚɹi ænd ɐ pɪkɛɹsk vjuː əvə lɪɾəl ɹᵻmɛmbɚd wɜːld ,1
ðə moʊst ɹᵻpʌɡnənt ædæpteɪʃən əvə klæsɪk tɛkst sɪns ɹoʊlənd dʒɑːf ænd dɛmi mʊɹ ɛs ðə skɑːɹlɪt lɛɾɚ ,0
"fɔːɹ sʌmθɪŋ æz splɛndɪd lʊkɪŋ æz ðɪs pɚtɪkjʊlɚ fɪlm , ðə vjuːɚɹ ɛkspɛkts sʌmθɪŋ spɛʃəl bʌt ɪnstɛd ɡɛts ɛlɑːɹbiː saɪ faɪ ɑːɹɹɑːɹbiː ɹᵻhæʃ ",0
"ðɪs ɪz ɐ stʌnɪŋ fɪlm , ɐ wʌn əvə kaɪnd tʊɹ də foːɹs ",1
"meɪ biː moːɹ dʒiːnɪəl ðɐn ɪndʒiːniəs , bʌt ɪt ɡɛts ðə dʒɑːb dʌn ",1
"ðɛɹ ɪz ɐ fɹiːdəm tə wɑːtʃɪŋ stʌnts ðæt ɑːɹ ðɪs kɹuːd , ðɪs fæst peɪst ænd ðɪs ɪnseɪn ",1
"ɪf ðə tʌksiːdoʊ æktʃuːəli wɜːɹ ɐ suːt , ɪt wʊd fɪt tʃæn laɪk ɐ naɪnti naɪn bɑːɹɡɪn beɪsmənt spɛʃəl ",0
"æz kwaɪət , peɪʃənt ænd tɛneɪʃəs æz mɪstɚ loʊpɛz hɪmsɛlf , huː ɐpɹoʊtʃᵻz hɪz dɪfɪkəlt , ɛndləs wɜːk wɪð ɹᵻmɑːɹkəbəl sɚɹɛnᵻɾi ænd dɪsɪplɪn ",1
faɪnəl vɜːdɪkt juː viː siːn ɪɾ ɔːl bᵻfoːɹ ,0
"bluː kɹʌʃ fɑːloʊz ðə fɔːɹmjʊlə , bʌt θɹoʊz ɪn tuː mɛni kɑːnflɪkts tə kiːp ðə stoːɹi kəmpɛlɪŋ ",0
